pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,782.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,781.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,785.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,786.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,783.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,782.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,784.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,786.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,782.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,786.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,787.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,784.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,784.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,788.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,789.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,785.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,788.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,789.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,787.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,786.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,789.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,788.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,786.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,789.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,790.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,788.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,785.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,788.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,790.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,787.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,790.02
